categories,description,dimensions,name,price,sku,stock,tags,weight
wild bull,"This Pokémon is not satisfied unless it is rampaging at all times. If there is no opponent for Tauros to battle, it will charge at thick trees and knock them down to calm itself.",4 x 4 x 4 cm,Tauros,63.00,2149,298,"intimidate, tauros, wild bull",194.9 kg
stag beetle,"Pinsir has a pair of massive horns. Protruding from the surface of these horns are thorns. These thorns are driven deeply into the foe’s body when the pincer closes, making it tough for the foe to escape.",4 x 4 x 4 cm,Pinsir,141.00,2091,29,"hyper cutter, pinsir, stag beetle",121.3 kg
spitfire,"In battle, Magmar blows out intensely hot flames from all over its body to intimidate its opponent. This Pokémon’s fiery bursts create heat waves that ignite grass and trees in its surroundings.",4 x 4 x 4 cm,Magmar,130.00,8655,16,"flame body, magmar, spitfire",98.1 kg
electric,"When a storm arrives, gangs of this Pokémon compete with each other to scale heights that are likely to be stricken by lightning bolts. Some towns use Electabuzz in place of lightning rods.",3 x 3 x 3 cm,Electabuzz,125.00,7699,63,"electabuzz, electric, static",66.1 kg
human shape,"Jynx walks rhythmically, swaying and shaking its hips as if it were dancing. Its motions are so bouncingly alluring, people seeing it are compelled to shake their hips without giving any thought to what they are doing.",4 x 4 x 4 cm,Jynx,138.00,1615,197,"human shape, jynx, oblivious",89.5 kg
mantis,"Scyther is blindingly fast. Its blazing speed enhances the effectiveness of the twin scythes on its forearms. This Pokémon’s scythes are so effective, they can slice through thick logs in one wicked stroke.",4 x 4 x 4 cm,Scyther,85.00,5181,139,"mantis, scyther, swarm",123.5 kg
barrier,"Mr. Mime is a master of pantomime. Its gestures and motions convince watchers that something unseeable actually exists. Once the watchers are convinced, the unseeable thing exists as if it were real.",4 x 4 x 4 cm,Mr-mime,144.00,9469,105,"barrier, mr-mime, soundproof",120.1 kg
mysterious,Starmie swims through water by spinning its star-shaped body as if it were a propeller on a ship. The core at the center of this Pokémon’s body glows in seven colors.,3 x 3 x 3 cm,Starmie,176.00,7984,283,"mysterious, natural cure, starmie",176.4 kg
star shape,"Staryu apparently communicates with the stars in the night sky by flashing the red core at the center of its body. If parts of its body are torn, this Pokémon simply regenerates the missing pieces and limbs.",2 x 2 x 2 cm,Staryu,166.00,7802,292,"natural cure, star shape, staryu",76.1 kg
dragon,"If Horsea senses danger, it will reflexively spray a dense black ink from its mouth and try to escape. This Pokémon swims by cleverly flapping the fin on its back.",1 x 1 x 1 cm,Horsea,154.00,1885,88,"dragon, horsea, swift swim",17.6 kg
parent,"If you come across a young Kangaskhan playing by itself, you must never disturb it or attempt to catch it. The baby Pokémon’s parent is sure to be in the area, and it will become violently enraged at you.",7 x 7 x 7 cm,Kangaskhan,164.00,7268,35,"early bird, kangaskhan, parent",176.4 kg
shellfish,"Kabuto is a Pokémon that has been regenerated from a fossil. However, in extremely rare cases, living examples have been discovered. The Pokémon has not changed at all for 300 million years.",1 x 1 x 1 cm,Kabuto,79.00,9584,187,"kabuto, shellfish, swift swim",25.4 kg
spiral,"Omastar uses its tentacles to capture its prey. It is believed to have become extinct because its shell grew too large and heavy, causing its movements to become too slow and ponderous.",3 x 3 x 3 cm,Omastar,61.00,3283,249,"omastar, shell armor, spiral",77.2 kg
spiral,"Omanyte is one of the ancient and long-since-extinct Pokémon that have been regenerated from fossils by people. If attacked by an enemy, it withdraws itself inside its hard shell.",1 x 1 x 1 cm,Omanyte,162.00,4569,13,"omanyte, shell armor, spiral",16.5 kg
virtual,Porygon is capable of reverting itself entirely back to program data and entering cyberspace. This Pokémon is copy protected so it cannot be duplicated by copying.,2 x 2 x 2 cm,Porygon,178.00,7940,156,"porygon, trace, virtual",80.5 kg
flame,"Moltres is a legendary bird Pokémon that has the ability to control fire. If this Pokémon is injured, it is said to dip its body in the molten magma of a volcano to burn and heal itself.",6 x 6 x 6 cm,Moltres,178.00,2571,208,"flame, moltres, pressure",132.3 kg
electric,Zapdos is a legendary bird Pokémon that has the ability to control electricity. It usually lives in thunderclouds. The Pokémon gains power if it is stricken by lightning bolts.,5 x 5 x 5 cm,Zapdos,133.00,7213,265,"electric, pressure, zapdos",116 kg
freeze,"Articuno is a legendary bird Pokémon that can control ice. The flapping of its wings chills the air. As a result, it is said that when this Pokémon flies, snow will fall.",5 x 5 x 5 cm,Articuno,77.00,6040,101,"articuno, freeze, pressure",122.1 kg
sleeping,Snorlax’s typical day consists of nothing more than eating and sleeping. It is such a docile Pokémon that there are children who use its expansive belly as a place to play.,6 x 6 x 6 cm,Snorlax,134.00,9883,260,"sleeping, snorlax, thick fat",1014.1 kg
fossil,Aerodactyl is a Pokémon from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.,5 x 5 x 5 cm,Aerodactyl,56.00,1801,257,"aerodactyl, fossil, rock head",130.1 kg
shellfish,Kabutops swam underwater to hunt for its prey in ancient times. The Pokémon was apparently evolving from being a water dweller to living on land as evident from the beginnings of change in its gills and legs.,4 x 4 x 4 cm,Kabutops,57.00,4736,228,"kabutops, shellfish, swift swim",89.3 kg
flame,"Flareon’s fluffy fur has a functional purpose—it releases heat into the air so that its body does not get excessively hot. This Pokémon’s body temperature can rise to a maximum of 1,650 degrees Fahrenheit.",2 x 2 x 2 cm,Flareon,34.00,8149,142,"flame, flareon, flash fire",55.1 kg
lightning,"Jolteon’s cells generate a low level of electricity. This power is amplified by the static electricity of its fur, enabling the Pokémon to drop thunderbolts. The bristling fur is made of electrically charged needles.",2 x 2 x 2 cm,Jolteon,158.00,4119,37,"jolteon, lightning, volt absorb",54 kg
bubble jet,Vaporeon underwent a spontaneous mutation and grew fins and gills that allow it to live underwater. This Pokémon has the ability to freely control water.,3 x 3 x 3 cm,Vaporeon,147.00,5437,226,"bubble jet, vaporeon, water absorb",63.9 kg
evolution,Eevee has an unstable genetic makeup that suddenly mutates due to the environment in which it lives. Radiation from various stones causes this Pokémon to evolve.,1 x 1 x 1 cm,Eevee,112.00,3593,234,"eevee, evolution, run away",14.3 kg
transform,"Ditto rearranges its cell structure to transform itself into other shapes. However, if it tries to transform itself into something by relying on its memory, this Pokémon manages to get details wrong.",1 x 1 x 1 cm,Ditto,75.00,5061,177,"ditto, limber, transform",8.8 kg
transport,"People have driven Lapras almost to the point of extinction. In the evenings, this Pokémon is said to sing plaintively as it seeks what few others of its kind still remain.",8 x 8 x 8 cm,Lapras,172.00,7759,89,"lapras, transport, water absorb",485 kg
dragon,Dragonair stores an enormous amount of energy inside its body. It is said to alter weather conditions in its vicinity by discharging energy from the crystals on its neck and tail.,13 x 13 x 13 cm,Dragonair,57.00,5641,119,"dragon, dragonair, shed skin",36.4 kg
dragon,Dratini continually molts and sloughs off its old skin. It does so because the life energy within its body steadily builds to reach uncontrollable levels.,5 x 5 x 5 cm,Dratini,94.00,2799,275,"dragon, dratini, shed skin",7.3 kg
long body,"Furret has a very slim build. When under attack, it can slickly squirm through narrow spaces and get away. In spite of its short limbs, this Pokémon is very nimble and fleet.",5 x 5 x 5 cm,Furret,154.00,4876,85,"furret, keen eye, long body",71.6 kg
scout,"When Sentret sleeps, it does so while another stands guard. The sentry wakes the others at the first sign of danger. When this Pokémon becomes separated from its pack, it becomes incapable of sleep due to fear.",2 x 2 x 2 cm,Sentret,48.00,2687,83,"keen eye, scout, sentret",13.2 kg
big jaw,"Feraligatr intimidates its foes by opening its huge mouth. In battle, it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed.",7 x 7 x 7 cm,Feraligatr,183.00,9344,175,"big jaw, feraligatr, torrent",195.8 kg
big jaw,"Once Croconaw has clamped its jaws on its foe, it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks, they become impossible to remove when they have sunk in.",3 x 3 x 3 cm,Croconaw,175.00,9299,255,"big jaw, croconaw, torrent",55.1 kg
big jaw,"Despite the smallness of its body, Totodile’s jaws are very powerful. While the Pokémon may think it is just playfully nipping, its bite has enough power to cause serious injury.",2 x 2 x 2 cm,Totodile,190.00,4342,285,"big jaw, torrent, totodile",20.9 kg
volcano,Typhlosion obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. This Pokémon creates blazing explosive blasts that burn everything to cinders.,5 x 5 x 5 cm,Typhlosion,191.00,5228,118,"blaze, typhlosion, volcano",175.3 kg
volcano,Quilava keeps its foes at bay with the intensity of its flames and gusts of superheated air. This Pokémon applies its outstanding nimbleness to dodge attacks even while scorching the foe with flames.,2 x 2 x 2 cm,Quilava,85.00,6999,263,"blaze, quilava, volcano",41.9 kg
fire mouse,"Cyndaquil protects itself by flaring up the flames on its back. The flames are vigorous if the Pokémon is angry. However, if it is tired, the flames splutter fitfully with incomplete combustion.",1 x 1 x 1 cm,Cyndaquil,154.00,3987,184,"blaze, cyndaquil, fire mouse",17.4 kg
herb,"The fragrance of Meganium’s flower soothes and calms emotions. In battle, this Pokémon gives off more of its becalming scent to blunt the foe’s fighting spirit.",5 x 5 x 5 cm,Meganium,163.00,5778,71,"herb, meganium, overgrow",221.6 kg
leaf,Bayleef’s neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree. The fragrance of this shoot makes people peppy.,3 x 3 x 3 cm,Bayleef,44.00,1272,299,"bayleef, leaf, overgrow",34.8 kg
leaf,"In battle, Chikorita waves its leaf around to keep the foe at bay. However, a sweet fragrance also wafts from the leaf, becalming the battling Pokémon and creating a cozy, friendly atmosphere all around.",2 x 2 x 2 cm,Chikorita,127.00,2657,98,"chikorita, leaf, overgrow",14.1 kg
new species,"Mew is said to possess the genetic composition of all Pokémon. It is capable of making itself invisible at will, so it entirely avoids notice even if it approaches people.",1 x 1 x 1 cm,Mew,136.00,4382,152,"mew, new species, synchronize",8.8 kg
genetic,"Mewtwo is a Pokémon that was created by genetic manipulation. However, even though the scientific power of humans created this Pokémon’s body, they failed to endow Mewtwo with a compassionate heart.",6 x 6 x 6 cm,Mewtwo,43.00,4630,78,"genetic, mewtwo, pressure",269 kg
dragon,Dragonite is capable of circling the globe in just 16 hours. It is a kindhearted Pokémon that leads lost and foundering ships in a storm to the safety of land.,7 x 7 x 7 cm,Dragonite,69.00,9175,127,"dragon, dragonite, inner focus",463 kg
angler,"Chinchou’s two antennas are filled with cells that generate strong electricity. This Pokémon’s cells create so much electrical power, it even makes itself tingle slightly.",1 x 1 x 1 cm,Chinchou,59.00,2651,130,"angler, chinchou, illuminate",26.5 kg
bat,Crobat sneaks up on its intended prey using wings that barely make a sound. This Pokémon rests by hanging on a tree branch with its rear legs that serve as wings.,5 x 5 x 5 cm,Crobat,195.00,6120,245,"bat, crobat, inner focus",165.3 kg
long leg,Ariados’s feet are tipped with tiny hooked claws that enable it to scuttle on ceilings and vertical walls. This Pokémon constricts the foe with thin and strong silk webbing.,3 x 3 x 3 cm,Ariados,85.00,9759,50,"ariados, long leg, swarm",73.9 kg
mystic,Xatu is known to stand motionless while staring at the sun all day long. Some people revere it as a mystical Pokémon out of their belief that Xatu is in possession of the power to see into the future.,4 x 4 x 4 cm,Xatu,123.00,7616,196,"mystic, synchronize, xatu",33.1 kg
tiny bird,Natu has a highly developed jumping ability. The Pokémon flaps and leaps onto tree branches that are taller than grown-up people to pick at the tree’s new shoots.,None,Natu,99.00,2942,36,"natu, synchronize, tiny bird",4.4 kg
happiness,"Togetic is said to be a Pokémon that brings good fortune. When the Pokémon spots someone who is pure of heart, it is said to appear and share its happiness with that person.",2 x 2 x 2 cm,Togetic,69.00,9410,293,"happiness, serene grace, togetic",7.1 kg
spike ball,"As its energy, Togepi uses the positive emotions of compassion and pleasure exuded by people and Pokémon. This Pokémon stores up feelings of happiness inside its shell, then shares them with others.",1 x 1 x 1 cm,Togepi,47.00,1684,264,"serene grace, spike ball, togepi",3.3 kg
balloon,Igglybuff has a soft and plushy body that feels very much like a marshmallow. From this body wafts a gently sweet fragrance that soothes and calms the emotions of its foes.,1 x 1 x 1 cm,Igglybuff,189.00,2662,170,"balloon, cute charm, igglybuff",2.2 kg
star shape,"On nights with many shooting stars, Cleffa can be seen dancing in a ring. They dance through the night and stop only at the break of day, when these Pokémon quench their thirst with the morning dew.",1 x 1 x 1 cm,Cleffa,107.00,2794,187,"cleffa, cute charm, star shape",6.6 kg
tiny mouse,"When Pichu plays with others, it may short out electricity with another Pichu, creating a shower of sparks. In that event, this Pokémon will begin crying, startled by the flash of sparks.",1 x 1 x 1 cm,Pichu,193.00,4987,64,"pichu, static, tiny mouse",4.4 kg
light,"Lanturn is known to emit light. If you peer down into the dark sea from a ship at night, you can sometimes see this Pokémon’s light rising from the depths where it swims. It gives the sea an appearance of a starlit night.",3 x 3 x 3 cm,Lanturn,131.00,7579,218,"illuminate, lanturn, light",49.6 kg
string spit,The web spun by Spinarak can be considered its second nervous system. It is said that this Pokémon can determine what kind of prey is touching its web just by the tiny vibrations it feels through the web’s strands.,1 x 1 x 1 cm,Spinarak,199.00,4388,136,"spinarak, string spit, swarm",18.7 kg
five star,"It is said that in lands with clean air, where the stars fill the sky, there live Ledian in countless numbers. There is a good reason for this—the Pokémon uses the light of the stars as its energy.",4 x 4 x 4 cm,Ledian,136.00,1806,65,"five star, ledian, swarm",78.5 kg
five star,Ledyba secretes an aromatic fluid from where its legs join its body. This fluid is used for communicating with others. This Pokémon conveys its feelings to others by altering the fluid’s scent.,3 x 3 x 3 cm,Ledyba,98.00,3874,83,"five star, ledyba, swarm",23.8 kg
owl,"Noctowl never fails at catching prey in darkness. This Pokémon owes its success to its superior vision that allows it to see in minimal light, and to its soft, supple wings that make no sound in flight.",5 x 5 x 5 cm,Noctowl,170.00,9939,10,"keen eye, noctowl, owl",89.9 kg
owl,"Hoothoot has an internal organ that senses and tracks the earth’s rotation. Using this special organ, this Pokémon begins hooting at precisely the same time every day.",2 x 2 x 2 cm,Hoothoot,48.00,4691,204,"hoothoot, keen eye, owl",46.7 kg
water fish,"Wooper usually lives in water. However, it occasionally comes out onto land in search of food. On land, it coats its body with a gooey, toxic film.",1 x 1 x 1 cm,Wooper,98.00,4198,48,"damp, water fish, wooper",18.7 kg
clear wing,Yanma is capable of seeing 360 degrees without having to move its eyes. It is a great flier that is adept at making sudden stops and turning midair. This Pokémon uses its flying ability to quickly chase down targeted prey.,3 x 3 x 3 cm,Yanma,130.00,8321,130,"clear wing, compound eyes, yanma",83.8 kg
sun,Sunflora converts solar energy into nutrition. It moves around actively in the daytime when it is warm. It stops moving as soon as the sun goes down for the night.,2 x 2 x 2 cm,Sunflora,33.00,7947,163,"chlorophyll, sun, sunflora",18.7 kg
seed,"Sunkern tries to move as little as it possibly can. It does so because it tries to conserve all the nutrients it has stored in its body for its evolution. It will not eat a thing, subsisting only on morning dew.",1 x 1 x 1 cm,Sunkern,150.00,4061,255,"chlorophyll, seed, sunkern",4 kg
long tail,"Aipom’s tail ends in a hand-like appendage that can be cleverly manipulated. However, because the Pokémon uses its tail so much, its real hands have become rather clumsy.",2 x 2 x 2 cm,Aipom,182.00,8103,92,"aipom, long tail, run away",25.4 kg
cottonweed,Jumpluff rides warm southern winds to cross the sea and fly to foreign lands. The Pokémon descends to the ground when it encounters cold air while it is floating.,2 x 2 x 2 cm,Jumpluff,107.00,2168,235,"chlorophyll, cottonweed, jumpluff",6.6 kg
cottonweed,"Skiploom’s flower blossoms when the temperature rises above 64 degrees Fahrenheit. How much the flower opens depends on the temperature. For that reason, this Pokémon is sometimes used as a thermometer.",2 x 2 x 2 cm,Skiploom,185.00,2616,94,"chlorophyll, cottonweed, skiploom",2.2 kg
cottonweed,"This Pokémon drifts and floats with the wind. If it senses the approach of strong winds, Hoppip links its leaves with other Hoppip to prepare against being blown away.",1 x 1 x 1 cm,Hoppip,107.00,1154,266,"chlorophyll, cottonweed, hoppip",1.1 kg
frog,"The curled hair on Politoed’s head is proof of its status as a king. It is said that the longer and more curled the hair, the more respect this Pokémon earns from its peers.",3 x 3 x 3 cm,Politoed,193.00,9168,261,"damp, frog, politoed",74.7 kg
imitation,"Sudowoodo camouflages itself as a tree to avoid being attacked by enemies. However, because its hands remain green throughout the year, the Pokémon is easily identified as a fake during the winter.",3 x 3 x 3 cm,Sudowoodo,54.00,1558,147,"imitation, rock head, sudowoodo",83.8 kg
aqua rabbit,Azumarill can make balloons out of air. It makes these air balloons if it spots a drowning Pokémon. The air balloons enable the Pokémon in trouble to breathe.,2 x 2 x 2 cm,Azumarill,175.00,9464,300,"aqua rabbit, azumarill, thick fat",62.8 kg
aqua mouse,"When fishing for food at the edge of a fast-running stream, Marill wraps its tail around the trunk of a tree. This Pokémon’s tail is flexible and configured to stretch.",1 x 1 x 1 cm,Marill,127.00,4728,55,"aqua mouse, marill, thick fat",18.7 kg
flower,"A Bellossom grows flowers more beautifully if it has evolved from a smelly Gloom—the more stinky the better. At night, this Pokémon closes its petals and goes to sleep.",1 x 1 x 1 cm,Bellossom,25.00,7003,234,"bellossom, chlorophyll, flower",12.8 kg
light,Ampharos gives off so much light that it can be seen even from space. People in the old days used the light of this Pokémon to send signals back and forth with others far away.,4 x 4 x 4 cm,Ampharos,41.00,2141,247,"ampharos, light, static",135.6 kg
wool,Flaaffy’s wool quality changes so that it can generate a high amount of static electricity with a small amount of wool. The bare and slick parts of its hide are shielded against electricity.,2 x 2 x 2 cm,Flaaffy,163.00,9291,64,"flaaffy, static, wool",29.3 kg
wool,"Mareep’s fluffy coat of wool rubs together and builds a static charge. The more static electricity is charged, the more brightly the lightbulb at the tip of its tail glows.",2 x 2 x 2 cm,Mareep,79.00,2016,152,"mareep, static, wool",17.2 kg
mold,"Shuckle quietly hides itself under rocks, keeping its body concealed inside its hard shell while eating berries it has stored away. The berries mix with its body fluids to become a juice.",2 x 2 x 2 cm,Shuckle,194.00,7903,74,"mold, shuckle, sturdy",45.2 kg
pincer,Scizor has a body with the hardness of steel. It is not easily fazed by ordinary sorts of attacks. This Pokémon flaps its wings to regulate its body temperature.,5 x 5 x 5 cm,Scizor,172.00,9056,198,"pincer, scizor, swarm",260.1 kg
balloon,"Qwilfish sucks in water, inflating itself. This Pokémon uses the pressure of the water it swallowed to shoot toxic quills all at once from all over its body. It finds swimming somewhat challenging.",1 x 1 x 1 cm,Qwilfish,77.00,3335,297,"balloon, poison point, qwilfish",8.6 kg
fairy,"Granbull has a particularly well-developed lower jaw. The enormous fangs are heavy, causing the Pokémon to tip its head back for balance. Unless it is startled, it will not try to bite indiscriminately.",4 x 4 x 4 cm,Granbull,59.00,7346,171,"fairy, granbull, intimidate",107.4 kg
fairy,"By baring its fangs and making a scary face, Snubbull sends smaller Pokémon scurrying away in terror. However, this Pokémon seems a little sad at making its foes flee.",2 x 2 x 2 cm,Snubbull,63.00,3961,164,"fairy, run away, snubbull",17.2 kg
iron snake,Steelix lives even further underground than Onix. This Pokémon is known to dig toward the earth’s core. There are records of this Pokémon reaching a depth of over six-tenths of a mile underground.,30 x 30 x 30 cm,Steelix,116.00,4345,157,"iron snake, rock head, steelix",881.8 kg
fly scorpion,"Gligar glides through the air without a sound as if it were sliding. This Pokémon hangs on to the face of its foe using its clawed hind legs and the large pincers on its forelegs, then injects the prey with its poison barb.",3 x 3 x 3 cm,Gligar,112.00,5090,140,"fly scorpion, gligar, sand veil",142.9 kg
long neck,"Girafarig’s rear head contains a tiny brain that is too small for thinking. However, the rear head doesn’t need to sleep, so it can keep watch over its surroundings 24 hours a day.",4 x 4 x 4 cm,Girafarig,99.00,7871,31,"girafarig, inner focus, long neck",91.5 kg
patient,"Wobbuffet does nothing but endure attacks—it won’t attack on its own. However, it won’t endure an attack on its tail. When that happens, the Pokémon will try to take the foe with it using Destiny Bond.",4 x 4 x 4 cm,Wobbuffet,107.00,6138,113,"patient, shadow tag, wobbuffet",62.8 kg
symbol,"This Pokémon is shaped like ancient writing. It is a mystery as to which came first, the ancient writings or the various Unown. Research into this topic is ongoing but nothing is known.",1 x 1 x 1 cm,Unown,198.00,9561,47,"levitate, symbol, unown",11 kg
screech,"Misdreavus frightens people with a creepy, sobbing cry. The Pokémon apparently uses its red spheres to absorb the fearful feelings of foes and turn them into nutrition.",2 x 2 x 2 cm,Misdreavus,33.00,9272,207,"levitate, misdreavus, screech",2.2 kg
royal,"Slowking undertakes research every day in an effort to solve the mysteries of the world. However, this Pokémon apparently forgets everything it has learned if the Shellder on its head comes off.",6 x 6 x 6 cm,Slowking,174.00,9664,55,"oblivious, royal, slowking",175.3 kg
darkness,Murkrow was feared and loathed as the alleged bearer of ill fortune. This Pokémon shows strong interest in anything that sparkles or glitters. It will even try to steal rings from women.,1 x 1 x 1 cm,Murkrow,178.00,2223,246,"darkness, insomnia, murkrow",4.6 kg
moonlight,Umbreon evolved as a result of exposure to the moon’s waves. It hides silently in darkness and waits for its foes to make a move. The rings on its body glow when it leaps to attack.,3 x 3 x 3 cm,Umbreon,78.00,4995,186,"moonlight, synchronize, umbreon",59.5 kg
sun,Espeon is extremely loyal to any Trainer it considers to be worthy. It is said that this Pokémon developed its precognitive powers to protect its Trainer from harm.,2 x 2 x 2 cm,Espeon,177.00,9676,153,"espeon, sun, synchronize",58.4 kg
water fish,"Quagsire hunts for food by leaving its mouth wide open in water and waiting for its prey to blunder in unaware. Because the Pokémon does not move, it does not get very hungry.",4 x 4 x 4 cm,Quagsire,37.00,2688,292,"damp, quagsire, water fish",165.3 kg
dragon,"Kingdra sleeps on the seafloor where it is otherwise devoid of life. When a storm arrives, the Pokémon is said to awaken and wander about in search of prey.",5 x 5 x 5 cm,Kingdra,124.00,7090,206,"dragon, kingdra, swift swim",335.1 kg
dark,"In a Houndoom pack, the one with its horns raked sharply toward the back serves a leadership role. These Pokémon choose their leader by fighting among themselves.",4 x 4 x 4 cm,Houndoom,78.00,2081,40,"dark, flash fire, houndoom",77.2 kg
dark,Houndour hunt as a coordinated pack. They communicate with each other using a variety of cries to corner their prey. This Pokémon’s remarkable teamwork is unparalleled.,2 x 2 x 2 cm,Houndour,144.00,7965,184,"dark, flash fire, houndour",23.8 kg
armor bird,"Skarmory’s steel wings become tattered and bashed in from repeated battles. Once a year, the battered wings grow back completely, restoring the cutting edges to their pristine state.",5 x 5 x 5 cm,Skarmory,199.00,1057,102,"armor bird, keen eye, skarmory",111.3 kg
kite,"On sunny days, schools of Mantine can be seen elegantly leaping over the sea’s waves. This Pokémon is not bothered by the Remoraid that hitches rides.",6 x 6 x 6 cm,Mantine,114.00,3704,195,"kite, mantine, water absorb",485 kg
delivery,"Delibird carries its food bundled up in its tail. There once was a famous explorer who managed to reach the peak of the world’s highest mountain, thanks to one of these Pokémon sharing its food.",2 x 2 x 2 cm,Delibird,121.00,6280,141,"delibird, delivery, vital spirit",35.3 kg
jet,"Octillery grabs onto its foe using its tentacles. This Pokémon tries to immobilize it before delivering the finishing blow. If the foe turns out to be too strong, Octillery spews ink to escape.",2 x 2 x 2 cm,Octillery,94.00,9000,150,"jet, octillery, sniper",62.8 kg
jet,"Remoraid sucks in water, then expels it at high velocity using its abdominal muscles to shoot down flying prey. When evolution draws near, this Pokémon travels downstream from rivers.",2 x 2 x 2 cm,Remoraid,122.00,4952,46,"jet, remoraid, sniper",26.5 kg
coral,"Clusters of Corsola congregate in warm seas where they serve as ideal hiding places for smaller Pokémon. When the water temperature falls, this Pokémon migrates to the southern seas.",2 x 2 x 2 cm,Corsola,27.00,5281,162,"coral, corsola, natural cure",11 kg
swine,Piloswine is covered by a thick coat of long hair that enables it to endure the freezing cold. This Pokémon uses its tusks to dig up food that has been buried under ice.,3 x 3 x 3 cm,Piloswine,84.00,4003,276,"oblivious, piloswine, swine",123 kg
pig,Swinub roots for food by rubbing its snout against the ground. Its favorite food is a mushroom that grows under the cover of dead grass. This Pokémon occasionally roots out hot springs.,1 x 1 x 1 cm,Swinub,132.00,8647,250,"oblivious, pig, swinub",14.3 kg
lava,"Magcargo’s body temperature is approximately 18,000 degrees Fahrenheit. Water is vaporized on contact. If this Pokémon is caught in the rain, the raindrops instantly turn into steam, cloaking the area in a thick fog.",2 x 2 x 2 cm,Magcargo,36.00,3917,210,"flame body, lava, magcargo",121.3 kg
hibernator,"In the forests inhabited by Ursaring, it is said that there are many streams and towering trees where they gather food. This Pokémon walks through its forest gathering food every day.",5 x 5 x 5 cm,Ursaring,31.00,7576,209,"guts, hibernator, ursaring",277.3 kg
little bear,This Pokémon likes to lick its palms that are sweetened by being soaked in honey. Teddiursa concocts its own honey by blending fruits and pollen collected by Beedrill.,2 x 2 x 2 cm,Teddiursa,173.00,7681,274,"little bear, pickup, teddiursa",19.4 kg
sharp claw,Sneasel scales trees by punching its hooked claws into the bark. This Pokémon seeks out unguarded nests and steals eggs for food while the parents are away.,2 x 2 x 2 cm,Sneasel,108.00,5017,141,"keen eye, sharp claw, sneasel",61.7 kg
single horn,"Heracross has sharp claws on its feet. These are planted firmly into the ground or the bark of a tree, giving the Pokémon a secure and solid footing to forcefully fling away foes with its proud horn.",4 x 4 x 4 cm,Heracross,143.00,9256,49,"heracross, single horn, swarm",119 kg
rock skin,"Larvitar is born deep under the ground. To come up to the surface, this Pokémon must eat its way through the soil above. Until it does so, Larvitar cannot see its parents.",2 x 2 x 2 cm,Larvitar,26.00,9302,31,"guts, larvitar, rock skin",158.7 kg
aurora,Suicune embodies the compassion of a pure spring of water. It runs across the land with gracefulness. This Pokémon has the power to purify dirty water.,6 x 6 x 6 cm,Suicune,68.00,8586,275,"aurora, pressure, suicune",412.3 kg
volcano,Entei embodies the passion of magma. This Pokémon is thought to have been born in the eruption of a volcano. It sends up massive bursts of fire that utterly consume all that they touch.,6 x 6 x 6 cm,Entei,27.00,9592,36,"entei, pressure, volcano",436.5 kg
thunder,Raikou embodies the speed of lightning. The roars of this Pokémon send shock waves shuddering through the air and shake the ground as if lightning bolts had come crashing down.,6 x 6 x 6 cm,Raikou,66.00,5989,276,"pressure, raikou, thunder",392.4 kg
happiness,"Blissey senses sadness with its fluffy coat of fur. If it does so, this Pokémon will rush over to a sad person, no matter how far away, to share a Lucky Egg that brings a smile to any face.",4 x 4 x 4 cm,Blissey,31.00,8632,289,"blissey, happiness, natural cure",103.2 kg
milk cow,Miltank gives over five gallons of milk on a daily basis. Its sweet milk is enjoyed by children and grown-ups alike. People who can’t drink milk turn it into yogurt and eat it instead.,3 x 3 x 3 cm,Miltank,26.00,1586,12,"milk cow, miltank, thick fat",166.4 kg
live coal,"Magby’s state of health is determined by observing the fire it breathes. If the Pokémon is spouting yellow flames from its mouth, it is in good health. When it is fatigued, black smoke will be mixed in with the flames.",2 x 2 x 2 cm,Magby,40.00,5864,21,"flame body, live coal, magby",47.2 kg
electric,"Elekid stores electricity in its body. If it touches metal and accidentally discharges all its built-up electricity, this Pokémon begins swinging its arms in circles to recharge itself.",2 x 2 x 2 cm,Elekid,104.00,5157,131,"electric, elekid, static",51.8 kg
kiss,"Smoochum actively runs about, but also falls quite often. Whenever the chance arrives, it will look for its reflection to make sure its face hasn’t become dirty.",1 x 1 x 1 cm,Smoochum,166.00,7637,116,"kiss, oblivious, smoochum",13.2 kg
handstand,"Hitmontop spins on its head at high speed, all the while delivering kicks. This technique is a remarkable mix of both offense and defense at the same time. The Pokémon travels faster spinning than it does walking.",4 x 4 x 4 cm,Hitmontop,149.00,3340,47,"handstand, hitmontop, intimidate",105.8 kg
scuffle,"Tyrogue becomes stressed out if it does not get to train every day. When raising this Pokémon, the Trainer must establish and uphold various training methods.",2 x 2 x 2 cm,Tyrogue,145.00,7594,76,"guts, scuffle, tyrogue",46.3 kg
painter,"Smeargle marks the boundaries of its territory using a body fluid that leaks out from the tip of its tail. Over 5,000 different marks left by this Pokémon have been found.",3 x 3 x 3 cm,Smeargle,151.00,6497,56,"painter, smeargle, technician",127.9 kg
